timestamps population node_ids
2153.856 v1 234
2120.206 v1 234
2087.49 v1 234
2061.038 v1 234
2007.33 v1 234
1988.889 v1 234
1976.63 v1 234
1946.368 v1 234
1864.088 v1 234
1844.173 v1 234
1802.19 v1 234
1715.396 v1 234
1696.209 v1 234
1672.994 v1 234
1031.433 v1 234
997.527 v1 234
967.777 v1 234
955.475 v1 234
64.558 v1 234
2995.624 v1 233
2980.978 v1 233
2966.743 v1 233
2955.04 v1 233
2936.617 v1 233
2905.01 v1 233
2866.672 v1 233
2787.534 v1 233
2776.231 v1 233
2757.22 v1 233
2742.535 v1 233
2727.62 v1 233
2708.266 v1 233
2679.756 v1 233
99.62 v1 234
2614.428 v1 233
139.477 v1 234
266.914 v1 234
870.299 v1 234
845.579 v1 234
825.26 v1 234
761.485 v1 234
735.527 v1 234
705.897 v1 234
674.152 v1 234
635.528 v1 234
595.876 v1 234
556.855 v1 234
532.096 v1 234
515.413 v1 234
485.206 v1 234
374.384 v1 234
327.925 v1 234
232.856 v1 234
2215.472 v1 234
352.681 v1 233
240.377 v1 233
1283.087 v1 232
1269.053 v1 232
1247.347 v1 232
1235.842 v1 232
1226.753 v1 232
1216.993 v1 232
1296.302 v1 232
1208.115 v1 232
1184.829 v1 232
1170.275 v1 232
1148.754 v1 232
1113.894 v1 232
1092.001 v1 232
1074.596 v1 232
1195.702 v1 232
1334.988 v1 232
1363.401 v1 232
1377.191 v1 232
1639.094 v1 232
1624.643 v1 232
1610.01 v1 232
1595.102 v1 232
1578.553 v1 232
1521.481 v1 232
1505.52 v1 232
1495.363 v1 232
1484.495 v1 232
1471.922 v1 232
1458.538 v1 232
1443.991 v1 232
1433.272 v1 232
1413.834 v1 232
1389.785 v1 232
1058.216 v1 232
1044.893 v1 232
1030.791 v1 232
1015.673 v1 232
644.908 v1 232
634.51 v1 232
625.422 v1 232
615.033 v1 232
602.485 v1 232
591.178 v1 232
576.794 v1 232
557.734 v1 232
545.68 v1 232
536.462 v1 232
527.862 v1 232
518.084 v1 232
500.91 v1 232
365.051 v1 232
337.781 v1 232
661.155 v1 232
1665.582 v1 232
675.894 v1 232
704.965 v1 232
997.888 v1 232
979.657 v1 232
967.75 v1 232
956.647 v1 232
892.215 v1 232
873.92 v1 232
851.026 v1 232
833.375 v1 232
803.793 v1 232
784.846 v1 232
771.606 v1 232
756.426 v1 232
740.482 v1 232
723.573 v1 232
713.297 v1 232
688.944 v1 232
289.8 v1 233
1682.785 v1 232
1711.226 v1 232
2713.643 v1 232
2688.466 v1 232
2661.232 v1 232
2644.665 v1 232
2627.355 v1 232
2610.279 v1 232
2725.652 v1 232
2595.052 v1 232
